team,player,goals_12mo,n_pens_12mo,last_goal_date,goals_24mo
Costa Rica,Álvaro Zamora,1,0,2025-06-07,2
Croatia,Joško Gvardiol,1,0,2025-11-14,2
Cyprus,Andronikos Kakoullis,1,0,2025-10-12,2
Cyprus,Grigoris Kastanos,1,1,2025-10-12,2
Czechia,Adam Hložek,1,0,2025-06-06,2
Czechia,Lukáš Červ,1,0,2025-09-05,2
Czechia,Václav Černý,1,0,2025-09-05,2
DR Congo,Meschak Elia,1,0,2025-11-16,2
DR Congo,Théo Bongonda,1,0,2025-12-23,2
Dominica,Troy Jules,1,0,2025-06-04,2
England,Anthony Gordon,1,0,2025-10-14,2
England,Bukayo Saka,1,0,2025-11-13,2
Equatorial Guinea,Emilio Nsue,1,0,2025-12-31,2
Estonia,Rauno Sappinen,1,0,2025-10-11,2
France,Christopher Nkunku,1,0,2025-10-13,2
Gambia,Ebou Adams,1,0,2025-09-09,2
Ghana,Mohammed Kudus,1,0,2025-10-12,2
Ghana,Mohammed Salisu,1,0,2025-10-08,2
Gibraltar,James Scanlon,1,0,2025-06-09,2
Guatemala,José Carlos Pinto,1,1,2025-06-24,2
Guinea-Bissau,Mama Baldé,1,0,2025-09-04,2
Haiti,Louicius Don Deedson,1,0,2025-06-10,2
Hungary,Roland Sallai,1,0,2025-09-06,2
Israel,Dor Turgeman,1,1,2025-11-16,2
Italy,Alessandro Bastoni,1,0,2025-09-05,2
Kosovo,Elvis Rexhbeçaj,1,0,2025-09-08,2
Kyrgyzstan,Gulzhigit Alykulov,1,0,2025-06-05,2
Liberia,Nicholas Andrews,1,0,2025-10-13,2
Madagascar,Arnaud Randrianantenaina,1,0,2025-09-04,2
Malawi,Chawanangwa Kawonga,1,0,2025-09-08,2
Malta,Teddy Teuma,1,1,2025-11-17,2
Morocco,Azzedine Ounahi,1,0,2025-09-05,2
Niger,Youssouf Oumarou,1,0,2025-10-08,2
North Korea,Pak Kwang-hun,1,0,2025-06-05,2
North Macedonia,Aleksandar Trajkovski,1,0,2025-06-09,2
North Macedonia,Lirim Qamili,1,0,2025-09-07,2
Norway,Felix Horn Myhre,1,0,2025-09-09,2
Oman,Issam Al-Sabhi,1,1,2025-06-10,2
Palestine,Tamer Seyam,1,0,2025-06-05,2
Panama,Cristian Martínez,1,0,2025-06-16,2
Panama,César Blackman,1,0,2025-11-18,2
Panama,César Yanis,1,0,2025-06-10,2
Portugal,Gonçalo Ramos,1,0,2025-11-16,2
Puerto Rico,Leandro Antonetti,1,0,2025-06-10,2
Republic of Ireland,Adam Idah,1,0,2025-09-06,2
Romania,Daniel Bîrligea,1,0,2025-11-15,2
Romania,Ianis Hagi,1,0,2025-11-18,2
Slovakia,Dávid Hancko,1,0,2025-09-04,2
Slovakia,Lukáš Haraslín,1,0,2026-03-26,2
Spain,Martin Zubimendi,1,0,2025-11-15,2
Suriname,Jaden Montnor,1,0,2025-06-06,2
Suriname,Justin Lonwijk,1,0,2025-06-10,2
Suriname,Shaquille Pinas,1,1,2025-06-15,2
Sweden,Yasin Ayari,1,0,2025-09-05,2
Tunisia,Hazem Mastouri,1,0,2025-09-04,2
Türkiye,Mert Müldür,1,0,2025-09-04,2
Türkiye,İrfan Can Kahveci,1,0,2025-10-11,2
Ukraine,Heorhiy Sudakov,1,0,2025-09-09,2
United Arab Emirates,Marcus Meloni,1,0,2025-10-11,2
Uzbekistan,Eldor Shomurodov,1,0,2025-06-10,2
Venezuela,Telasco Segovia,1,0,2025-09-09,2
Wales,David Brooks,1,0,2025-11-18,2
Zimbabwe,Knowledge Musona,1,0,2025-12-26,2
Albania,Arbër Hoxha,1,0,2026-03-26,1
Algeria,Adil Boulbina,1,0,2026-01-06,1
Algeria,Farès Chaïbi,1,0,2025-12-31,1
